nominal,nominal,nominal,nominal,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,,,,,,,,
Moorparkcity,CA,?,?,?,3,10.29,8,236.6,1543.05,,,,,,,,
RedBankcity,TN,?,?,?,6,50,2,716.61,5232.9,,,,,,,,
Augustacity,GA,?,?,0,18,40.58,16,845.39,9292.57,,,,,,,,
Bartletttown,TN,?,?,?,2,6.01,?,204.32,?,,,,,,,,
Goshentown,NY,71,29553,?,0,0,?,17.24,?,,,,,,,,
WestOrangetownship,NJ,13,79800,10,5,12.6,1,297.32,3897.9,,,,,,,,
Redmondcity,WA,?,?,?,18,44.54,16,143.51,4097.49,,,,,,,,
Madisonborough,NJ,27,42510,?,0,0,0,50.49,1609.44,,,,,,,,
Brooklinetown,MA,21,9175,0,8,14.19,4,475.46,3738,,,,,,,,
Scituatetown,MA,23,60330,?,1,5.6,11,39.21,1243.63,,,,,,,,
LaGrangecity,GA,?,?,?,8,28.99,3,1138.05,9843.79,,,,,,,,
BellGardenscity,CA,?,?,?,11,25.79,10,1313.17,3831.63,,,,,,,,
Lufkincity,TX,?,?,?,8,24.8,5,796.75,6308.9,,,,,,,,
EastWindsortownship,NJ,21,19780,?,2,8.71,0,95.76,1915.21,,,,,,,,
Hutchinsoncity,MN,85,30644,?,?,?,4,?,4356.06,,,,,,,,
Bothellcity,WA,?,?,?,2,15.08,15,211.18,7240.37,,,,,,,,
Kirkwoodcity,MO,?,?,?,4,14.02,5,234.84,2316.86,,,,,,,,
FountainValleycity,CA,?,?,?,3,5.38,9,270.88,4952.91,,,,,,,,
Franklincity,TN,?,?,?,13,50.55,4,497.69,4514.17,,,,,,,,
Martinsburgcity,WV,?,?,?,0,0,15,387.44,8076.15,,,,,,,,
Bartowcity,FL,?,?,5,13,85.4,2,1517.44,9794.39,,,,,,,,
Kingstonborough,PA,79,39784,?,3,21.7,10,130.17,3087.94,,,,,,,,
Tiftoncity,GA,?,?,?,3,20.03,0,1108.14,7162.88,,,,,,,,
Gilroycity,CA,?,?,?,9,26.64,78,790.2,5445.56,,,,,,,,
Bristolborough,PA,17,8760,?,3,27.7,9,840.18,4256.3,,,,,,,,
Margatecity,FL,?,?,?,6,12.45,7,373.65,4739.07,,,,,,,,
Muskegoncity,MI,121,56320,?,?,?,25,?,10715.77,,,,,,,,
Caldwellcity,ID,?,?,?,11,44.71,14,325.15,5742.97,,,,,,,,
FortLeeborough,NJ,3,24420,?,4,12.41,0,425.03,3378.53,,,,,,,,
Summittownship,MI,75,77200,?,?,?,1,?,1354.21,,,,,,,,
NorthRichlandHillscity,TX,?,?,?,28,49.54,5,265.42,4055.56,,,,,,,,
Wataugacity,TX,?,?,?,8,33.88,0,173.62,2151.18,,,,,,,,
Gloucestercity,MA,9,26150,?,4,13.67,0,1196.34,2631.94,,,,,,,,
FortWaynecity,IN,?,?,5,130,70.28,143,555.18,7553.59,,,,,,,,
PriorLakecity,MN,139,52594,?,?,?,3,?,2872.06,,,,,,,,
Claremontcity,CA,?,?,?,5,14.58,13,358.64,5181.36,,,,,,,,
Brooklyncity,OH,35,9246,?,1,8.84,1,106.04,3614.35,,,,,,,,
Murraycity,UT,?,?,?,15,43.97,8,275.53,8969.4,,,,,,,,
Jacksonvillecity,AR,?,?,?,17,56.75,12,824.52,5738.22,,,,,,,,
Torringtontown,CT,5,76570,?,8,23.68,1,239.72,2903.31,,,,,,,,
OceanSpringscity,MS,?,?,?,8,48.24,1,319.6,4287.52,,,,,,,,
BrokenArrowcity,OK,?,?,?,13,19.67,6,175.54,2916.07,,,,,,,,
MountMorristownship,MI,49,55980,?,?,?,16,?,5090.38,,,,,,,,
Cantoncity,OH,151,12000,0,82,96.97,76,1224,7475.25,,,,,,,,
Amherstcity,OH,93,1798,?,6,53.82,1,125.57,3264.87,,,,,,,,
SierraMadrecity,CA,?,?,?,0,0,1,138.54,1359.43,,,,,,,,
Kennercity,LA,?,?,0,42,57.26,2,1203.87,7311.82,,,,,,,,
Bouldercity,CO,?,?,0,20,22.79,18,208.56,6441.54,,,,,,,,
MiamiSpringscity,FL,?,?,?,1,7.14,0,950.27,8202.34,,,,,,,,
UpperAllentownship,PA,41,78736,?,0,0,0,66.3,1443.94,,,,,,,,
Sangercity,CA,?,?,?,2,11.09,9,754.26,4630.91,,,,,,,,
Enterprisecity,AL,?,?,?,6,27.98,?,1002.66,?,,,,,,,,
Portagecity,IN,?,?,?,11,35.12,7,268.19,3457.74,,,,,,,,
PleasantHillcity,CA,?,?,?,3,9.44,9,534.69,5777.82,,,,,,,,
Hinesvillecity,GA,?,?,?,7,25.39,0,304.71,5833.06,,,,,,,,
Juneaucity,AK,?,?,?,12,41.53,7,114.21,3637.43,,,,,,,,
Pottsvillecity,PA,107,62432,?,3,18.04,0,120.26,1906.19,,,,,,,,
ElCentrocity,CA,?,?,?,18,47.64,24,690.81,7453.28,,,,,,,,
Boonecity,IA,?,?,?,2,15.7,?,125.63,?,,,,,,,,
Garlandcity,TX,?,?,5,114,57.61,145,?,5694,,,,,,,,
Janesvillecity,WI,105,37825,?,23,40.13,20,197.14,6512.56,,,,,,,,
WestGoshentownship,PA,29,83080,?,1,5.44,1,212.07,2974.44,,,,,,,,
Ashevillecity,NC,?,?,?,44,67.28,8,697.28,7370.37,,,,,,,,
Winchestercity,KY,?,?,?,5,29.86,1,513.59,3147.21,,,,,,,,
Angletoncity,TX,?,?,?,15,78.79,4,546.28,4107.57,,,,,,,,
Carmelcity,IN,?,?,?,3,9.47,2,123.07,1707.22,,,,,,,,
Pacificacity,CA,?,?,?,10,25.19,13,619.57,2284.35,,,,,,,,
Wyandottecity,MI,163,88900,?,?,?,0,?,2917,,,,,,,,
Wolcotttown,CT,9,87560,?,11,79.31,1,216.29,2718.1,,,,,,,,
BeechGrovecity,IN,?,?,?,6,45.64,2,167.34,3772.72,,,,,,,,
Huntingtoncity,WV,?,?,0,61,113.04,33,563.33,5957.57,,,,,,,,
Bellevilletownship,NJ,13,4695,?,4,11.5,9,485.98,4077.64,,,,,,,,
Georgetowncity,KY,?,?,?,9,69.03,1,1165.91,6696.33,,,,,,,,
Youngstowncity,OH,99,88000,?,79,85.7,278,2299.87,6833.44,,,,,,,,
Cheyennecity,WY,?,?,?,22,40.7,12,199.81,4754.77,,,,,,,,
SouthWindsortown,CT,3,71390,?,5,22.61,1,108.52,1777.07,,,,,,,,
Connersvillecity,IN,?,?,?,1,5.97,8,286.67,4646.44,,,,,,,,
Spencercity,IA,41,93955,?,0,0,?,0,?,,,,,,,,
Phillipsburgtown,NJ,41,58350,?,0,0,2,238.59,2059.4,,,,,,,,
GarfieldHeightscity,OH,35,29428,?,13,41.36,9,362.65,2742.17,,,,,,,,
Lindenwoldborough,NJ,7,40440,?,7,37.68,5,602.9,5151.53,,,,,,,,
Roselleborough,NJ,39,64620,?,14,67.7,9,483.61,3032.21,,,,,,,,
FrontRoyaltown,VA,?,?,?,3,22.13,4,177.04,4086.75,,,,,,,,
Minneapoliscity,MN,53,43000,5,518,144.81,?,1811.81,?,,,,,,,,
Moorheadcity,MN,27,43864,?,?,?,6,?,4927.66,,,,,,,,
WhitefishBayvillage,WI,79,86700,?,0,0,0,35.26,2397.74,,,,,,,,
Auburncity,AL,?,?,?,14,38.73,?,370.67,?,,,,,,,,
Pleasantvillecity,NJ,1,59640,?,12,69.93,12,1730.67,5524.15,,,,,,,,
Columbiacity,TN,?,?,?,18,50.77,14,857.47,5835.9,,,,,,,,
Grahamcity,NC,?,?,?,5,44.74,0,1082.77,5100.67,,,,,,,,
Burlingtoncity,VT,7,10675,0,26,66.83,?,179.92,?,,,,,,,,
Lompoccity,CA,?,?,?,13,31.16,18,467.36,4510.59,,,,,,,,
Gardenacity,CA,?,?,?,12,22.33,17,2037.32,5511.01,,,,,,,,
SanRamoncity,CA,?,?,?,3,7.48,6,79.79,2580.79,,,,,,,,
Monroecity,LA,?,?,5,29,50.52,?,1956.24,?,,,,,,,,
Cookevillecity,TN,?,?,?,4,16.65,7,237.29,3488.61,,,,,,,,
Orangecity,TX,?,?,?,34,167.69,9,1252.77,10954.38,,,,,,,,
Palmdalecity,CA,?,?,?,49,47.14,57,1189.11,3553.87,,,,,,,,
Bellcity,CA,?,?,?,6,16.73,3,867.12,2238.89,,,,,,,,
Bridgetoncity,NJ,11,7600,?,17,88.84,15,2241.85,8005.85,,,,,,,,
LowerSalfordtownship,PA,91,45096,?,2,18.32,1,219.84,1190.8,,,,,,,,
Oceansidecity,CA,?,?,5,66,44.91,66,1019.98,5153.64,,,,,,,,
ForrestCitycity,AR,?,?,?,11,81.43,5,1317.64,10171,,,,,,,,
Shawneecity,OK,?,?,?,16,57.04,14,438.5,5340.46,,,,,,,,
Tracycity,CA,?,?,?,8,17.79,11,698.38,4450.52,,,,,,,,
UniversityCitycity,MO,?,?,?,16,38.9,25,636.96,5810.42,,,,,,,,
Boonetown,NC,?,?,?,1,7.16,0,150.31,2898.86,,,,,,,,
Lawrencecity,MA,9,34550,0,33,52,69,2124.14,?,,,,,,,,
Middletowncity,NY,71,47042,?,17,68.68,8,484.83,5244.23,,,,,,,,
Eulesscity,TX,?,?,?,9,22.1,17,260.35,4315.36,,,,,,,,
SanDiegocity,CA,?,?,5,396,34.2,245,1162.84,6219.62,,,,,,,,
Marshallcity,MO,?,?,?,3,23.95,0,39.92,1892.37,,,,,,,,
Logantownship,PA,13,44328,?,3,23.83,1,150.9,2422.37,,,,,,,,
Grandviewcity,MO,?,?,?,5,19.54,5,418.07,3450.03,,,,,,,,
SanAntoniocity,TX,?,?,0,553,55.31,958,672.57,9191.32,,,,,,,,
Chicagocity,IL,31,14000,5,?,?,1676,?,7604.09,,,,,,,,
GrandHavencity,MI,139,33340,?,?,?,2,?,5901.92,,,,,,,,
Plainfieldtown,CT,15,59980,?,1,6.88,2,117.03,1239.16,,,,,,,,
SantaRosacity,CA,?,?,10,102,86.77,58,537.64,6058.7,,,,,,,,
Placentiacity,CA,?,?,?,4,9.26,35,333.19,3158.41,,,,,,,,
Brookfieldcity,WI,133,10025,?,2,5.39,0,177.84,3823.66,,,,,,,,
DeWitttownship,MI,37,22140,?,?,?,2,?,2506.06,,,,,,,,
LaMarquecity,TX,?,?,?,7,46.48,1,338.62,4727.44,,,,,,,,
EastChicagocity,IN,?,?,0,25,76.03,4,2572.91,6982.76,,,,,,,,
Texarkanacity,TX,?,?,?,28,84.67,20,1448.4,8360.8,,,,,,,,
BuenaParkcity,CA,?,?,?,19,26.01,14,570.95,5554.79,,,,,,,,
NorthMankatocity,MN,103,47068,?,?,?,1,?,2712.57,,,,,,,,
PuntaGordacity,FL,?,?,0,1,8.14,0,415.11,3418.53,,,,,,,,
Oskaloosacity,IA,123,93218,?,8,71.96,?,161.9,?,,,,,,,,
EaglePasscity,TX,?,?,?,1,3.94,6,712.74,9557,,,,,,,,
Richmondcity,VA,760,67000,5,174,85.66,170,1617.17,9371.69,,,,,,,,
Uniontownship,NJ,39,74480,0,8,15.59,9,409.11,5287.25,,,,,,,,
Woodburycity,MN,163,71428,?,?,?,9,?,3177.25,,,,,,,,
Westlandcity,MI,163,86000,?,?,?,48,?,4550.97,,,,,,,,
MountPleasanttown,WI,101,54875,?,6,27.52,2,210.97,3425.98,,,,,,,,
PortNechescity,TX,?,?,?,3,21.82,4,349.17,3673.53,,,,,,,,
GoldenValleycity,MN,53,24308,?,?,?,5,?,3048.63,,,,,,,,
SouthWhitehalltownship,PA,77,72632,?,2,10.77,4,113.07,4485.25,,,,,,,,
Duartecity,CA,?,?,?,8,35.45,2,793.23,3137.46,,,,,,,,
Canyoncity,TX,?,?,?,2,16.7,1,66.79,1928.7,,,,,,,,
WestColumbiacity,SC,?,?,?,10,82.51,3,1889.44,11105.61,,,,,,,,
Livingstontownship,NJ,13,40890,?,0,0,1,85.15,3457.98,,,,,,,,
Warringtontownship,PA,17,81048,?,0,0,5,56.56,2108.75,,,,,,,,
PleasantGrovecity,UT,?,?,?,9,42.31,0,103.43,2712.74,,,,,,,,
BoulderCitycity,NV,?,?,?,0,0,6,298.25,2880.63,,,,,,,,
Syracusecity,NY,67,73000,0,79,49.5,116,852.74,6184.09,,,,,,,,
Cupertinocity,CA,?,?,?,6,13.98,16,349.61,3920.29,,,,,,,,
Turlockcity,CA,?,?,?,24,51.51,53,847.77,7632.05,,,,,,,,
Passaiccity,NJ,31,56550,0,17,30.18,5,1075.77,5547.47,,,,,,,,
FortAtkinsoncity,WI,55,26675,?,0,0,4,79.71,4941.99,,,,,,,,
Concordcity,CA,?,?,10,44,39.13,30,534.46,6542.41,,,,,,,,
Hartfordtown,CT,3,37070,10,99,79.71,227,2288.32,12328.9,,,,,,,,
Cumrutownship,PA,11,17720,?,0,0,0,316.14,2746.83,,,,,,,,
Danvillecity,KY,?,?,?,9,68.4,1,782.85,4263.89,,,,,,,,
Auroracity,CO,?,?,5,166,67.31,119,1807.31,6499.74,,,,,,,,
Cheshiretown,CT,9,14160,?,1,3.85,9,30.76,2195.73,,,,,,,,
Birminghamcity,MI,125,8640,?,?,?,0,?,3254.28,,,,,,,,
WestHempfieldtownship,PA,71,83152,?,4,30.39,0,159.55,1671.48,,,,,,,,
NorthPalmBeachvillage,FL,?,?,?,1,8.96,3,268.82,4068.1,,,,,,,,
TwentyninePalms-MorongoValle,CA,71,93480,?,11,87.3,8,1007.94,5920.63,,,,,,,,
MountainBrookcity,AL,?,?,?,0,0,?,44.32,?,,,,,,,,
Stuttgartcity,AR,?,?,?,2,19.28,0,578.26,7305.32,,,,,,,,
Conwaycity,AR,?,?,?,8,23.27,4,267.64,4933.82,,,,,,,,
HazelParkcity,MI,125,37420,?,?,?,17,?,6345.87,,,,,,,,
Waterburytown,CT,9,80070,0,39,37.67,12,566.06,7883.27,,,,,,,,
Westwoodborough,NJ,3,80270,?,3,28.97,0,86.9,2056.58,,,,,,,,
Caledoniatown,WI,101,11950,?,1,4.39,3,48.33,1818.82,,,,,,,,
Watertowntown,CT,5,80490,?,0,0,0,204.98,3093.72,,,,,,,,
Aikencity,SC,?,?,?,9,36.01,2,504.2,4957.98,,,,,,,,
Saralandcity,AL,?,?,?,1,8.11,?,1581.25,?,,,,,,,,
Walltownship,NJ,25,76460,?,0,0,2,80.26,2105.66,,,,,,,,
Rocklincity,CA,?,?,?,7,26.57,3,170.78,2724.96,,,,,,,,
Albanycity,OR,?,?,?,23,71.1,36,234.92,8645.79,,,,,,,,
Mentorcity,OH,85,49056,?,6,11.93,5,79.56,2838.22,,,,,,,,
Millvillecity,NJ,11,46680,?,28,105.01,17,952.56,5306.58,,,,,,,,
Tacomacity,WA,?,?,10,191,102.65,160,1849.26,9547.28,,,,,,,,
Hollistontown,MA,17,30700,?,0,0,0,59.7,820.9,,,,,,,,
Jonesborocity,AR,?,?,?,29,57.04,10,572.35,5265.23,,,,,,,,
Lauderhillcity,FL,?,?,?,32,60.59,14,1168.18,6013.22,,,,,,,,
Hampdentownship,PA,41,32296,?,1,4.82,1,173.64,2295.86,,,,,,,,
Minotcity,ND,101,53380,?,15,42.23,9,104.17,4099.33,,,,,,,,
Jaspercity,AL,?,?,?,3,21.49,5,1289.31,6955.09,,,,,,,,
WestDesMoinescity,IA,?,?,?,5,13.36,?,147,?,,,,,,,,
Somervilleborough,NJ,35,68460,?,5,40.8,3,220.3,4658.94,,,,,,,,
Willmarcity,MN,67,70420,?,?,?,6,?,5200.58,,,,,,,,
Englewoodcity,CO,?,?,?,18,53.67,39,787.17,7391.62,,,,,,,,
Edisontownship,NJ,23,20230,0,0,0,13,143.94,3498.99,,,,,,,,
SouthDaytonacity,FL,?,?,?,7,55.98,2,463.85,4526.55,,,,,,,,
Paramusborough,NJ,3,55950,?,3,11.87,18,407.57,13627.73,,,,,,,,
Sudburytown,MA,17,68260,?,0,0,0,248.57,1464.56,,,,,,,,
Lovelandcity,CO,?,?,?,35,77.67,12,372.83,3295.53,,,,,,,,
Brunswicktown,ME,5,8430,?,0,0,3,28.45,2204.52,,,,,,,,
PresqueIslecity,ME,3,60825,?,1,9.96,1,89.62,3355.91,,,,,,,,
Chanhassencity,MN,19,10918,?,?,?,1,?,1656.52,,,,,,,,
SuisunCitycity,CA,?,?,?,15,54.55,17,385.5,3302.18,,,,,,,,
NorthProvidencetown,RI,7,51760,?,9,27.19,8,241.68,2640.32,,,,,,,,
Carlisleborough,PA,41,11272,?,6,31.57,7,352.5,3367.18,,,,,,,,
Bensalemtownship,PA,17,5616,?,14,24.24,25,361.82,4598.1,,,,,,,,
Haywardcity,CA,?,?,10,53,45.62,55,1118.18,6251.13,,,,,,,,
CedarFallscity,IA,?,?,?,9,26.42,?,129.17,?,,,,,,,,
SouthPlainfieldborough,NJ,23,69390,?,4,18.97,5,251.32,4846.13,,,,,,,,
Wheelingvillage,IL,?,?,?,?,?,5,?,2719.98,,,,,,,,
Nanticokecity,PA,79,52584,?,0,0,2,149.98,2199.63,,,,,,,,
Hopkinscity,MN,53,30140,?,10,62.93,4,295.76,2869.55,,,,,,,,
SouthRiverborough,NJ,23,69420,?,3,21.54,0,272.83,1744.69,,,,,,,,
Marlborotownship,NJ,25,44070,?,3,10.25,4,167.41,1674.13,,,,,,,,
Poughkeepsiecity,NY,27,59641,0,11,37.43,9,1102.6,6333.16,,,,,,,,
HainesCitycity,FL,?,?,?,5,39.53,9,1083.09,10253.78,,,,,,,,
SantaPaulacity,CA,?,?,?,10,38.73,5,863.57,5305.35,,,,,,,,
Rentoncity,WA,?,?,?,32,72.32,31,596.65,9605.17,,,,,,,,
Portsmouthtown,RI,5,57880,?,4,23.29,1,139.76,1176.33,,,,,,,,
ElizabethCitycity,NC,?,?,?,8,46.04,6,828.73,6192.45,,,,,,,,
Walthamcity,MA,17,72600,0,10,18.15,0,455.62,3165.73,,,,,,,,
Southingtontown,CT,3,70550,?,3,7.78,3,59.64,2831.8,,,,,,,,
Monroviacity,CA,?,?,?,17,43.64,2,939.47,4833.41,,,,,,,,
WinterHavencity,FL,?,?,?,18,70.76,6,1419.14,11671.52,,,,,,,,
EastPointcity,GA,?,?,?,27,81.13,23,1577.48,12154.08,,,,,,,,
Beaumontcity,TX,?,?,10,200,170.67,59,1250.99,9531.77,,,,,,,,
Centervillecity,UT,?,?,?,7,49.68,0,127.76,3080.42,,,,,,,,
EastHartfordtown,CT,3,22630,0,12,23.76,17,384.07,4329.75,,,,,,,,
Jaspercity,IN,?,?,?,0,0,1,246.55,2100.26,,,,,,,,
TintonFallsborough,NJ,25,73020,?,4,30.04,1,232.79,3101.3,,,,,,,,
FortPaynecity,AL,?,?,?,2,15.55,?,77.77,?,,,,,,,,
Palestinecity,TX,?,?,?,15,80.45,5,1163.91,6141.39,,,,,,,,
Noblesvillecity,IN,?,?,?,4,19.77,4,682.12,2590.08,,,,,,,,
Dixoncity,CA,?,?,?,3,25.8,9,395.6,5288.96,,,,,,,,
Marysvillecity,CA,?,?,?,8,60.41,8,1230.84,7332.18,,,,,,,,
WhiteBearLakecity,MN,123,69970,?,?,?,14,?,4721.26,,,,,,,,
Wadsworthcity,OH,?,?,?,4,23.65,6,76.88,1738.62,,,,,,,,
Milwaukeecity,WI,79,53000,5,424,68.12,512,966.16,7218.05,,,,,,,,
Kissimmeecity,FL,?,?,?,18,48.7,9,1201.23,10253.77,,,,,,,,
Carthagecity,MO,?,?,?,0,0,1,134.43,3826.85,,,,,,,,
Artesiacity,NM,?,?,?,2,16.72,2,292.57,4848.28,,,,,,,,
ManhattanBeachcity,CA,?,?,?,5,14.95,5,340.76,5153.19,,,,,,,,
Tamaraccity,FL,?,?,?,8,16.48,3,348.12,3804.64,,,,,,,,
Muskegontownship,MI,121,56340,?,?,?,1,?,5546.37,,,,,,,,
Merrimacktown,NH,11,47540,?,1,4.47,1,22.33,1246.15,,,,,,,,
RoyalPalmBeachvillage,FL,?,?,?,1,5.08,0,244.05,4021.76,,,,,,,,
Stauntoncity,VA,790,75216,?,8,31.89,2,171.38,3021.12,,,,,,,,
Rochestercity,MN,109,54880,?,?,?,4,?,4248.06,,,,,,,,
Freeholdtownship,NJ,25,25230,?,1,3.87,0,85.1,3009.44,,,,,,,,
Clawsoncity,MI,125,16160,?,?,?,4,?,2657.46,,,,,,,,
Marinettecity,WI,75,49300,?,6,48.53,5,121.32,4019.73,,,,,,,,
Fremontcity,CA,?,?,5,39,21.14,50,483.47,3470.5,,,,,,,,
Carytown,NC,?,?,?,2,3.23,21,161.68,2942.65,,,,,,,,
MountPleasantcity,MI,73,56020,?,?,?,6,?,4205.39,,,,,,,,
Fairviewborough,NJ,3,22560,?,0,0,2,310.65,2776.99,,,,,,,,
SouthBrunswicktownship,NJ,23,68790,?,2,7.44,3,141.42,2508.28,,,,,,,,
Trentoncity,NJ,21,74000,0,109,128.42,17,2065.29,7289.2,,,,,,,,
PalmSpringscity,CA,?,?,?,18,45.19,82,1265.25,9165.54,,,,,,,,
Galesburgcity,IL,?,?,?,?,?,4,?,4701.11,,,,,,,,
Mantecacity,CA,?,?,?,15,33.78,13,617.09,6722.67,,,,,,,,
MenomoneeFallsvillage,WI,133,51000,?,1,3.49,6,90.66,2873.38,,,,,,,,
Cloquetcity,MN,17,12160,?,?,?,1,?,4414.54,,,,,,,,
Vermillioncity,SD,27,66700,?,2,19.06,0,76.24,2639.86,,,,,,,,
Fairfieldcity,AL,?,?,?,11,88.1,?,1938.17,?,,,,,,,,
Westporttown,MA,5,77570,?,3,20.55,1,219.16,1657.42,,,,,,,,
Montclaircity,CA,?,?,?,17,59.26,5,1307.21,10938.75,,,,,,,,
Vandaliacity,OH,113,79492,?,6,42.68,4,113.81,3151.23,,,,,,,,
Fillmorecity,CA,?,?,?,7,56.18,6,698.18,2760.61,,,,,,,,
Bentonvillecity,AR,?,?,?,0,0,1,116.97,3136.19,,,,,,,,
WestSpringfieldtown,MA,13,77850,?,14,49.5,15,597.51,7265.59,,,,,,,,
Washingtoncity,DC,1,50000,0,324,58.48,200,3048.38,9252.35,,,,,,,,
Antiochcity,CA,?,?,?,21,28.62,81,720.85,4624.86,,,,,,,,
Bismarckcity,ND,15,7200,?,7,13.25,0,83.27,4210.9,,,,,,,,
Hopewelltownship,NJ,21,33180,?,10,83.96,15,444.97,7085.89,,,,,,,,
Miamisburgcity,OH,?,?,?,6,32.97,6,186.81,5961.54,,,,,,,,
Ozarkcity,AL,?,?,?,5,37.56,7,1502.52,4492.52,,,,,,,,
WestJordancity,UT,?,?,?,5,9.78,7,90.01,3254.08,,,,,,,,
Rahwaycity,NJ,39,61530,?,1,3.86,4,390.07,3873.63,,,,,,,,
RedBankborough,NJ,25,62430,?,6,58.57,3,458.81,6696.6,,,,,,,,
Morristownship,NJ,27,48090,?,3,14.52,1,96.77,1437,,,,,,,,
SanMateocity,CA,?,?,10,22,24.92,14,440.66,3533.2,,,,,,,,
Bedfordtownship,MI,115,6740,?,?,?,4,?,1905.14,,,,,,,,
Annistoncity,AL,?,?,?,36,131.27,27,3540.57,12185.96,,,,,,,,
Leominstercity,MA,27,35075,?,13,33.81,3,408.34,4390.35,,,,,,,,
Easleycity,SC,?,?,?,6,30.46,0,568.5,2796.81,,,,,,,,
GlenRockborough,NJ,3,26640,?,0,0,0,78.88,1507.45,,,,,,,,
Watertowntown,MA,17,73405,?,2,6.33,0,740.32,4533.66,,,,,,,,
Freeholdborough,NJ,25,25200,?,12,102.94,1,669.13,4520.89,,,,,,,,
Daviscity,CA,?,?,?,14,28.86,19,138.1,6113.32,,,,,,,,
Darientown,CT,1,18850,?,1,5.41,0,27.07,3789.93,,,,,,,,
Crowleycity,LA,?,?,?,7,48.02,0,1029.02,6613.16,,,,,,,,
Lynwoodcity,CA,?,?,?,33,50.66,59,2956.98,4214.39,,,,,,,,
Berkeleycity,CA,?,?,5,35,34.88,64,1625.6,11484.87,,,,,,,,
Cambridgecity,MD,?,?,?,6,51.04,3,1514.12,7655.67,,,,,,,,
Atlantacity,GA,?,?,10,492,121.68,248,4026.59,13325.77,,,,,,,,
Blainecity,MN,3,6382,?,?,?,12,?,5662.74,,,,,,,,
Gilberttown,AZ,?,?,?,5,9.46,9,242.12,3514.55,,,,,,,,
Burlingtontownship,NJ,5,8950,?,3,23.53,8,439.32,4950.18,,,,,,,,
NewBedfordcity,MA,5,45000,0,59,62.01,89,1432.64,?,,,,,,,,
Perkinstownship,OH,43,61714,?,1,9.02,0,243.53,3616.85,,,,,,,,
Ontariocity,CA,?,?,5,66,48.71,64,1160.86,6844.87,,,,,,,,
Chandlercity,AZ,?,?,?,27,21.88,46,223.64,5202.98,,,,,,,,
Garfieldcity,NJ,3,25770,?,2,7.52,7,285.93,2840.48,,,,,,,,
Pampacity,TX,?,?,?,31,155.61,1,476.86,3915.27,,,,,,,,
Maldencity,MA,17,37875,0,12,23.04,0,887.01,3202.46,,,,,,,,
Clearwatercity,FL,?,?,10,70,69.06,39,1155.27,6390.96,,,,,,,,
Carrolltoncity,GA,?,?,?,9,51.44,6,800.14,7898.5,,,,,,,,
Bartlesvillecity,OK,?,?,?,13,38.41,18,499.32,4597.29,,,,,,,,
Deptfordtownship,NJ,15,17710,?,0,0,6,383.23,5637.86,,,,,,,,
Manchestertownship,NJ,29,43140,?,5,13.5,16,89.07,879.92,,,,,,,,
Dyertown,IN,?,?,?,1,8.31,1,83.09,2908.18,,,,,,,,
SterlingHeightscity,MI,99,76460,0,?,?,32,?,3595.71,,,,,,,,
AllenParkcity,MI,163,1380,?,?,?,5,?,3432.7,,,,,,,,
Hamptontownship,PA,3,32328,?,0,0,0,107.37,1250.55,,,,,,,,
Salemcity,OR,?,?,0,67,57.04,60,332.86,8062.76,,,,,,,,
Hazletoncity,PA,79,33408,?,5,20.24,2,113.34,2388.28,,,,,,,,
Akroncity,OH,153,1000,0,204,91.54,190,?,6405.25,,,,,,,,
Bayonnecity,NJ,17,3580,0,6,9.59,5,487.27,2789.45,,,,,,,,
Lynncity,MA,9,37490,10,19,24.08,0,1764.17,7210.03,,,,,,,,
Concordtown,MA,17,15060,?,0,0,0,39.54,1333.11,,,,,,,,
Woodbridgetownship,NJ,23,82000,0,15,15.47,21,408.3,3967.5,,,,,,,,
Bellflowercity,CA,?,?,?,28,41.79,22,1707.41,5258.05,,,,,,,,
Clarktownship,NJ,39,13150,?,1,6.66,0,106.6,2072.09,,,,,,,,
Weslacocity,TX,?,?,?,2,7.79,6,487.18,8375.56,,,,,,,,
Streamwoodvillage,IL,?,?,?,?,?,7,?,2907.82,,,,,,,,
OakParkcity,MI,125,59920,?,?,?,11,?,6318.29,,,,,,,,
Aberdeentownship,NJ,25,70,?,15,84.15,0,297.32,3309.77,,,,,,,,
Gatesvillecity,TX,?,?,?,3,24.59,3,131.14,1786.74,,,,,,,,
Sylacaugacity,AL,?,?,?,4,28.68,?,759.91,?,,,,,,,,
Lexingtontown,MA,17,35215,?,0,0,2,13.32,1248.38,,,,,,,,
Richlandcity,WA,?,?,?,23,63.31,7,231.23,2738.93,,,,,,,,
Rosevillecity,CA,?,?,?,12,22.52,27,540.49,5887.21,,,,,,,,
PicoRiveracity,CA,?,?,?,18,28.63,10,1348.6,2899.17,,,,,,,,
Plainvilletown,CT,3,60120,?,2,11.49,0,86.15,2940.5,,,,,,,,
Moontownship,PA,3,50784,?,3,15.02,0,70.12,1843.04,,,,,,,,
Laceycity,WA,?,?,?,5,23,2,280.63,6817.87,,,,,,,,
Columbuscity,MS,?,?,?,15,55.29,6,449.67,4743.65,,,,,,,,
WhiteSettlementcity,TX,?,?,?,9,53.53,0,386.63,4490.84,,,,,,,,
Framinghamtown,MA,17,24925,0,29,43.04,4,978.02,3076.53,,,,,,,,
Exetertown,NH,15,25380,?,2,15.86,8,63.43,1791.94,,,,,,,,
